AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,UNH,UTX,VZ,WMT,XOM,AAPL,AMD,DELL,GOOG,BNCN,C,CS,GS,AMZN,BBY,COST,WAG,WFM,TEVA,DJIA,SPY
0.044451763,0.011806513,0.009448889,0.007117468,-0.004434597,0.005037794,-0.003486349,-0.002143624,0.029141135,0.017291497,-0.020990276,0.019185241,0.000701017,0.01534557,0.008525201,0.014388737,-0.019544596,-0.029352212,-0.001215806,0.00896867,0.003766483,0.018237588,0.003294896,0.007518832,-0.003780723,0.008253142,0.001328904,0.021053409,0.003831422,0.00421645,0.005191644,0.03509132,0,-0.003647219,-0.023810649,0,0.013004084,0.000591891,0.004333701,0.018127385,-0.001415428,0.010666768,-0.032523192,-0.00199005,0.001746441,-0.000815994
0.00619197,0.027779564,0.007806441,0.01408474,0.008849615,0.010000083,-0.002331003,0.006417134,0.025774623,0,-0.003034904,0.01415118,-0.003510007,-0.01020417,0,0.011834458,-0.006600684,0.004246291,0,0.005934736,-0.003766483,0.006006024,-0.001646091,0.003738322,-0.005698021,0.005464494,0.00132714,0.011834458,-0.007677581,-0.002808991,0.008190551,0.022728251,0.014706147,0.011394723,0.023810649,0.014213437,0.012837147,0.005311314,0.012889545,0.017804625,-0.018585238,0.013175421,0,-0.008000043,0.002707795,0.004886003
-0.01242252,-0.006872879,0.018490511,0,-0.009961344,0.009901071,-0.008201569,-0.004273511,-0.007662873,-0.005730675,-0.003044142,0.016260521,0.010493276,-0.01030937,-0.001699236,-0.00471699,-0.006644543,-0.005665738,-0.0061013,0.011764842,0.029741969,0,-0.001648805,-0.015037877,-0.015355388,0.018893949,-0.00132714,-0.026827242,-0.007736983,0.007007737,-0.000906755,-0.034289073,0.028778965,0.007361996,-0.011834458,-0.00404041,0.010152371,-0.010650988,-0.008574543,-0.014815086,-0.004338402,0.002614381,-0.018770103,0.025769513,-0.002177618,-0.001626017
0,-0.006920443,0.009118604,-0.01408474,0.001111729,0,0.005865119,-0.004291852,-0.0051414,-0.005763705,0,0.004597709,-0.004883163,-0.005194817,-0.0102565,-0.019093659,-0.003338901,0.001419447,0.001223242,0.00873368,-0.011049836,0.011904903,-0.003305788,-0.007604599,-0.021506205,0.002670229,-0.001328904,-0.006060625,0.001939865,0.005571045,0.007231125,0.022989518,-0.021506205,0.004715839,-0.011976191,-0.002026343,-0.017834868,-0.008963311,-0.002155173,0.005952399,0,-0.005235614,0.0104713,0.009737175,-0.001933939,-0.002443993
0.00623055,0.00231214,-0.004548909,0.007067167,-0.003338901,-0.009901071,-0.009400774,-0.015168221,0,0.005763705,0,-0.006904515,-0.002100106,0.005194817,-0.006896579,-0.004830927,0.003338901,-0.0099787,0.010942358,-0.00290276,-0.011173301,-0.005934736,-0.001657001,-0.019268419,0.009832921,0,-0.006671139,0,-0.00583092,-0.006968669,0.018736608,0.033522692,0.007220248,-0.003575495,0.011976191,-0.006103783,0,-0.005416805,-0.004324331,0.014727807,-0.00290276,0.020779968,0.00415801,0.003868477,-0.003200058,-0.000815994
-0.012500163,0.011481182,-0.001520913,0.020906685,0.006666691,0.004962789,0.01639381,-0.002185793,-0.002580647,0.005730675,0.012121361,0.013761685,-0.002104526,0.01542447,0.001728609,0.002418381,-0.006688988,0.004288784,0.006027746,-0.00875918,-0.00375235,0,-0.004987542,-0.015686596,0.001955035,0.015873349,0.005340467,-0.018405428,0.009699397,0.008356595,-0.002359883,-0.092018899,0,0.002926356,-0.011976191,0.006103783,0.007682496,-0.00241692,-0.001626457,-0.005865119,0.008683123,-0.002574004,0.014418375,-0.007751977,0.002951626,0.003259987
-0.006309169,0,0.016604155,0.020478531,-0.005552485,0.009852296,0.006944472,0.002185793,-0.005181359,0.005698021,0,0.004545462,0.011867504,0.010152371,0.003448279,0.026223195,0.006688988,-0.004288784,0.010759219,0.00584797,0.01492565,0.005934736,0.013245227,0.003944778,0.011650617,-0.00526317,0.006635724,0.003091193,0.009606222,0.011034595,0.007942386,0,0.021353124,0.001297859,0,0.026027495,0.042453316,0.013818183,-0.001629107,-0.00294551,0.005747142,0.00770222,0.010173028,0.011605546,0.007137033,0.008910549
-0.025642431,0.002280503,-0.004501133,-0.013605652,0.006659292,0,-0.003466208,0.006528859,0.002594035,-0.005698021,0.011976191,0,-0.001388889,0,0.00686109,-0.00471699,0.00332779,-0.012977832,-0.007159935,-0.066289324,-0.011173301,-0.005934736,0.008190054,0.003929278,0.001928641,0.018301164,0,0.009216655,0,0.001370802,0.00380173,-0.012121361,-0.014184635,-0.000324307,0,-0.00793655,0.002442004,-0.000596837,0.008119124,-0.002954212,0.001431639,0.012706651,0.045507357,0.00192123,-0.002001082,-0.001614205
0.012903405,0.02474817,0.003003005,0.033673215,-0.001106807,0.004889985,0.006920443,0.008639363,0,0.011363759,0.017699577,0.013513719,0.007615129,-0.010152371,-0.0051414,0.009411834,-0.00332779,0.018692133,0.001196888,-0.01569891,0.003738322,0.005934736,0.001629992,0.01169604,0,0.030614636,-0.005305052,-0.009216655,0,0.014956091,0.00813958,0,-0.007168489,0.012090096,0,0.017769471,0.026475674,0.01950993,0.01710357,0.002954212,0.012793351,-0.005063302,0.01344881,-0.005774799,0.004711053,0.007243492
0.019048195,0.002219757,0.033901552,-0.020067563,0.028386185,0,0.005730675,-0.002152853,0.002587324,-0.011363759,0.00291971,0.002234638,0.004129393,0,-0.008628181,-0.004694844,0.006644543,0.00851069,0,-0.009539023,0.01113184,0,-0.001629992,-0.0038835,0,0.002509412,0.006626929,-0.03135053,0.005719749,0.010738358,-0.022841403,-0.012270093,0,0.024532369,0.023810649,-0.064668993,-0.007151401,-0.001757985,0.013161548,-0.014859114,0.001411433,0.012610508,0.001906578,0.001928641,0.004283568,0.001602564
