Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,50.48,50.56,49.89,50.05,8602000,46.71
2010-11-10,49.87,50.17,49.46,50.17,7466900,46.82
2010-11-11,49.78,50.15,49.69,49.78,8707300,46.46
2010-11-12,49.56,49.60,48.48,48.58,13079500,45.34
2010-11-15,48.89,49.25,48.08,48.16,13780800,44.95
2010-11-16,48.04,48.23,47.56,47.66,10425500,44.48
2010-11-17,47.83,48.11,47.71,47.80,7359400,44.61
2010-11-18,47.93,47.97,47.20,47.62,12226600,44.44
2010-11-19,47.64,47.74,47.20,47.40,11423300,44.24
2010-11-22,47.55,47.57,46.72,47.25,9237300,44.10
2010-11-23,47.17,47.20,46.85,46.95,8960500,43.82
2010-11-24,47.21,47.41,46.85,46.96,7403000,43.83
2010-11-26,47.02,47.02,46.76,46.80,3039200,43.68
2010-11-29,46.76,46.90,46.20,46.49,9926800,43.39
2010-11-30,46.09,46.57,46.03,46.51,9033200,43.41
2010-12-01,46.89,47.17,46.71,47.01,9712000,43.87
2010-12-02,47.15,47.65,47.07,47.61,8925500,44.43
2010-12-03,47.57,47.65,47.12,47.37,7621900,44.21
2010-12-06,47.50,47.50,46.80,46.92,11017300,43.79
2010-12-07,47.15,47.23,46.80,46.89,9589800,43.76
2010-12-08,46.93,47.03,46.40,46.73,10622100,43.61
2010-12-09,46.86,47.20,46.75,47.13,7811300,43.98
2010-12-10,47.23,47.67,47.11,47.62,8802600,44.44
2010-12-13,47.68,47.76,47.13,47.48,9921100,44.31
2010-12-14,47.49,48.05,47.35,48.05,8832500,44.84
2010-12-15,48.09,48.37,47.76,48.12,7901200,44.91
2010-12-16,48.17,48.62,47.82,48.56,7285100,45.32
2010-12-17,48.62,48.62,47.96,48.40,10362400,45.17
2010-12-20,48.56,48.77,48.13,48.27,6161300,45.05
2010-12-21,48.18,48.43,47.86,48.00,7769700,44.80
2010-12-22,48.12,48.19,47.80,47.84,7043700,44.65
2010-12-23,47.73,48.03,47.71,47.81,5200500,44.62
