Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,82.27,82.41,80.60,80.85,5320300,80.85
2010-11-10,80.64,82.17,80.64,81.93,5661100,81.93
2010-11-11,81.30,81.60,80.90,81.13,2957100,81.13
2010-11-12,80.95,80.96,80.16,80.25,3351400,80.25
2010-11-15,80.48,80.99,80.07,80.19,3626300,80.19
2010-11-16,80.06,80.30,79.67,79.91,5640100,79.91
2010-11-17,80.13,80.33,79.52,79.53,3753400,79.53
2010-11-18,80.20,80.97,80.03,80.86,3925800,80.86
2010-11-19,80.52,81.03,80.30,80.77,4219300,80.77
2010-11-22,80.11,80.55,79.70,80.00,3565100,80.00
2010-11-23,79.49,79.90,79.02,79.09,4320000,79.09
2010-11-24,79.98,80.35,79.43,80.30,3291400,80.30
2010-11-26,79.41,79.86,79.40,79.76,1849800,79.76
2010-11-29,79.04,79.89,78.82,79.51,4088400,79.51
2010-11-30,79.06,80.58,79.05,79.68,6824700,79.68
2010-12-01,80.72,81.92,80.25,80.68,6657800,80.68
2010-12-02,80.94,81.42,80.76,81.42,4908200,81.42
2010-12-03,80.80,81.17,80.20,80.90,4083100,80.90
2010-12-06,80.73,81.39,80.21,80.38,2399100,80.38
2010-12-07,80.84,81.15,79.79,79.87,4981800,79.87
2010-12-08,79.77,80.54,79.50,80.54,3889800,80.54
2010-12-09,80.66,80.75,79.85,80.49,3846400,80.49
2010-12-10,80.47,80.72,79.84,80.68,3627000,80.68
2010-12-13,80.66,80.88,80.16,80.34,4012200,80.34
2010-12-14,80.33,80.66,79.91,80.24,3182100,80.24
2010-12-15,79.96,80.17,79.48,79.55,4341500,79.55
2010-12-16,79.61,79.93,79.20,79.88,3950700,79.88
2010-12-17,79.73,80.05,79.32,79.95,6823900,79.95
2010-12-20,79.95,80.03,79.30,79.57,3205700,79.57
2010-12-21,79.70,80.58,79.59,80.49,4024100,80.49
2010-12-22,80.41,80.74,79.80,80.14,3737600,80.14
2010-12-23,80.11,80.11,79.67,79.86,2607700,79.86
2010-12-27,79.81,80.18,79.58,80.16,2218800,80.16
2010-12-28,80.14,80.22,79.87,79.99,1792500,79.99
2010-12-29,79.93,80.06,79.75,79.89,1816100,79.89
2010-12-30,80.05,80.05,79.29,79.40,2508600,79.40
2010-12-31,79.27,80.11,79.20,80.11,2935300,80.11
2011-01-03,80.50,80.84,80.22,80.41,5573500,80.41
2011-01-04,80.33,80.39,79.72,80.17,4020400,80.17
2011-01-05,79.99,80.91,79.80,80.91,4107800,80.91
2011-01-06,80.93,80.98,80.37,80.37,3938000,80.37
2011-01-07,80.61,80.70,79.50,79.74,3809600,79.74
2011-01-10,79.52,79.97,79.14,79.65,3521800,79.65
2011-01-11,79.69,80.02,79.21,79.40,3481400,79.40
2011-01-12,79.92,80.74,79.71,80.74,5436500,80.74
2011-01-13,80.73,80.89,80.29,80.76,3303800,80.76
2011-01-14,80.63,81.67,80.58,81.65,4786900,81.65
2011-01-18,81.52,82.10,81.50,81.82,4249400,81.82
2011-01-19,81.81,81.82,80.50,80.92,3932000,80.92
2011-01-20,80.82,81.37,80.50,80.73,3674500,80.73
2011-01-21,81.18,81.18,80.22,80.45,4444300,80.45
2011-01-24,81.35,83.39,81.29,82.94,7143500,82.94
2011-01-25,82.84,83.27,82.17,83.25,3863600,83.25
2011-01-26,83.33,83.48,82.91,83.07,3325200,83.07
2011-01-27,82.74,83.24,82.65,83.03,2817800,83.03
2011-01-28,83.23,83.35,81.47,81.56,5263400,81.56
2011-01-31,81.93,82.31,81.52,81.75,3434700,81.75
2011-02-01,82.06,83.50,82.06,83.35,4630900,83.35
2011-02-02,83.01,83.88,82.40,82.45,3616200,82.45
2011-02-03,82.30,83.39,82.21,83.02,2788300,83.02
2011-02-04,82.90,83.19,82.48,83.17,2582200,83.17
2011-02-07,83.28,84.11,83.28,84.10,3891200,84.10
2011-02-08,84.01,84.65,83.71,84.27,3593600,84.27
2011-02-09,83.89,84.18,83.35,83.89,4091100,83.89
2011-02-10,83.75,84.48,83.40,84.45,3216900,84.45
2011-02-11,84.27,84.96,83.67,84.91,3937200,84.91
2011-02-14,84.94,85.50,84.84,85.30,3177500,85.30
