Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,64.70,64.78,63.96,64.22,2600000,62.90
2010-11-10,64.02,64.50,63.94,64.45,2680800,63.13
2010-11-11,64.10,65.42,63.91,65.35,3798400,64.01
2010-11-12,64.88,65.70,64.65,65.20,3703200,63.86
2010-11-15,65.45,65.99,65.40,65.48,2949000,64.14
2010-11-16,65.19,66.40,64.57,65.74,6198600,64.39
2010-11-17,66.02,67.13,66.02,67.02,5484600,65.65
2010-11-18,67.25,67.49,66.32,66.41,3671100,65.05
2010-11-19,66.26,66.72,66.12,66.56,2710300,65.20
2010-11-22,66.27,67.34,66.18,67.26,2827200,65.88
2010-11-23,66.97,67.07,66.27,66.90,2985800,65.53
2010-11-24,67.17,68.00,67.17,67.54,2688000,66.16
2010-11-26,67.11,67.47,67.03,67.22,952900,65.84
2010-11-29,66.90,67.00,66.33,66.97,2350200,65.60
2010-11-30,66.59,67.92,66.51,67.61,3305000,66.22
2010-12-01,68.21,68.80,68.01,68.31,3038100,66.91
2010-12-02,68.52,69.11,68.13,69.01,3288800,67.60
2010-12-03,68.87,69.26,68.24,68.39,3092300,66.99
2010-12-06,68.33,69.41,68.33,69.19,3366000,67.77
2010-12-07,69.70,70.06,69.12,69.64,5115400,68.21
2010-12-08,69.38,69.71,68.53,69.25,3691400,67.83
2010-12-09,69.70,71.13,69.28,71.02,6777000,69.56
2010-12-10,70.75,71.28,70.62,71.25,3555900,69.79
2010-12-13,71.13,71.49,70.53,70.74,5797100,69.29
2010-12-14,70.70,71.54,70.60,71.21,2682500,69.75
2010-12-15,71.01,71.45,70.89,71.05,3522600,69.59
2010-12-16,71.05,72.23,71.01,72.12,3449700,70.64
2010-12-17,71.93,72.44,71.70,71.84,6457100,70.37
2010-12-20,71.89,72.55,71.76,72.31,2631800,70.83
2010-12-21,72.57,72.77,72.26,72.32,2200500,70.84
2010-12-22,72.33,72.54,72.00,72.27,1947900,70.79
2010-12-23,72.16,72.45,71.94,72.24,1379400,70.76
2010-12-27,71.88,72.27,71.72,72.08,1155800,70.60
2010-12-28,72.23,72.87,72.14,72.71,1974500,71.22
2010-12-29,72.89,73.16,72.57,72.70,1526400,71.21
2010-12-30,72.71,72.97,72.61,72.85,1424800,71.36
2010-12-31,72.69,72.99,72.19,72.21,1304200,70.73
2011-01-03,72.75,73.45,72.39,72.47,3405500,70.98
2011-01-04,72.53,72.53,71.76,72.33,3966700,70.85
2011-01-05,71.99,72.10,70.90,70.99,4270100,69.53
2011-01-06,70.36,71.25,70.01,70.65,3280400,69.20
2011-01-07,70.95,71.19,70.45,70.65,2342700,69.20
2011-01-10,70.28,70.60,70.02,70.48,2073200,69.04
2011-01-11,70.55,71.25,70.32,71.07,2065500,69.61
2011-01-12,71.20,71.68,71.11,71.49,1629900,70.02
2011-01-13,71.32,71.75,71.25,71.60,1923100,70.13
2011-01-14,71.35,72.52,71.21,72.51,2454700,71.02
2011-01-18,72.54,72.91,72.28,72.60,2416600,71.11
2011-01-19,72.38,72.49,71.86,72.07,2310500,70.59
2011-01-20,71.79,72.93,71.79,72.36,2306800,70.88
2011-01-21,72.48,72.96,72.34,72.77,2182900,71.28
2011-01-24,72.86,72.89,72.39,72.62,2212600,71.13
2011-01-25,72.51,72.61,71.71,72.46,2820000,70.97
2011-01-26,72.47,72.98,72.22,72.62,2093700,71.13
2011-01-27,72.84,73.70,72.76,73.12,2854500,71.62
2011-01-28,73.33,73.58,71.75,71.93,2426000,70.46
2011-01-31,72.24,72.43,71.61,71.84,2309000,70.37
2011-02-01,72.22,72.63,71.90,72.43,1997700,70.95
2011-02-02,72.15,72.48,70.54,70.85,4454800,69.40
2011-02-03,71.77,74.24,71.77,74.03,3780100,72.51
2011-02-04,74.12,74.42,73.47,74.13,1874300,72.61
2011-02-07,73.96,74.28,73.62,74.25,2447000,72.73
2011-02-08,74.23,74.82,74.12,74.80,1771400,73.27
2011-02-09,74.36,74.77,74.12,74.67,1746000,73.34
2011-02-10,74.44,74.65,73.94,74.55,1938600,73.22
2011-02-11,74.06,75.06,74.06,75.04,1678200,73.70
2011-02-14,75.05,75.11,74.52,74.66,1220000,73.33
2011-02-15,74.35,74.54,74.12,74.33,1460200,73.01
2011-02-16,74.51,75.10,74.40,74.96,1435000,73.63
2011-02-17,74.28,75.01,74.06,74.84,1360100,73.51
2011-02-18,74.82,75.48,74.30,75.43,2130900,74.09
2011-02-22,75.11,75.41,73.84,73.89,2115700,72.57
2011-02-23,73.80,73.80,72.41,72.84,2783600,71.54
2011-02-24,72.79,73.53,72.30,72.98,1848000,71.68
2011-02-25,73.25,74.03,73.24,73.57,1818100,72.26
2011-02-28,73.93,74.95,73.85,74.79,3306600,73.46
2011-03-01,75.11,75.39,73.43,73.62,3507200,72.31
2011-03-02,73.50,73.77,70.86,71.76,6197500,70.48
2011-03-03,72.25,72.60,71.62,72.49,2985400,71.20
2011-03-04,72.50,72.86,72.21,72.81,2678000,71.51
2011-03-07,72.99,72.99,72.03,72.19,3105000,70.90
2011-03-08,72.09,74.06,72.09,73.62,2615800,72.31
2011-03-09,73.48,74.25,73.08,74.16,1926400,72.84
2011-03-10,73.51,74.18,73.12,73.38,2372300,72.07
2011-03-11,73.09,73.62,72.54,72.55,2068600,71.26
2011-03-14,72.25,72.47,71.54,71.84,2217400,70.56
2011-03-15,70.76,71.97,70.66,71.56,2542200,70.29
2011-03-16,71.14,71.19,69.54,69.76,3980200,68.52
2011-03-17,70.46,70.99,70.08,70.46,2346600,69.21
2011-03-18,71.03,71.23,70.15,70.66,4766800,69.40
2011-03-21,71.11,71.19,70.37,71.04,2553200,69.77
2011-03-22,71.06,71.89,70.92,71.55,1929300,70.28
2011-03-23,71.49,71.54,70.40,70.92,2494900,69.66
2011-03-24,71.19,72.33,71.10,72.11,2118700,70.83
2011-03-25,72.24,72.37,71.41,71.46,2122100,70.19
2011-03-28,71.49,71.81,70.99,71.26,1328200,69.99
2011-03-29,71.24,71.95,70.78,71.90,1334600,70.62
2011-03-30,72.27,72.98,72.27,72.81,1769700,71.51
2011-03-31,72.56,73.46,72.08,73.32,2323500,72.01
2011-04-01,73.16,74.33,73.14,74.25,2474600,72.93
2011-04-04,74.62,74.88,73.94,74.17,1287100,72.85
2011-04-05,74.35,75.82,74.35,74.93,3386300,73.60
2011-04-06,75.31,75.94,74.75,74.99,1980700,73.65
2011-04-07,76.37,78.46,76.34,77.82,5923000,76.43
2011-04-08,77.17,77.29,76.21,76.41,2933400,75.05
2011-04-11,76.16,76.62,75.67,76.20,2423900,74.84
2011-04-12,75.75,76.84,75.74,76.45,2108000,75.09
2011-04-13,76.74,76.74,75.96,76.41,1285900,75.05
2011-04-14,75.96,76.47,75.66,76.34,1590700,74.98
2011-04-15,76.34,77.03,76.24,76.97,2137000,75.60
2011-04-18,76.00,77.06,76.00,76.90,1641500,75.53
2011-04-19,77.08,77.15,76.46,76.71,1794500,75.34
2011-04-20,77.51,78.67,77.40,78.56,2477700,77.16
2011-04-21,78.65,78.96,78.05,78.87,1790700,77.47
2011-04-25,78.64,78.87,78.36,78.66,1610300,77.26
2011-04-26,78.94,80.00,78.35,79.78,2800000,78.36
2011-04-27,80.31,81.29,80.17,81.10,3069400,79.66
2011-04-28,80.93,81.50,80.86,81.46,2500000,80.01
2011-04-29,81.18,81.49,80.54,80.89,6513700,79.45
2011-05-02,81.21,81.28,80.56,81.04,2154800,79.60
2011-05-03,80.92,81.16,80.13,80.51,2700000,79.08
2011-05-04,80.27,80.92,80.11,80.14,2187700,78.71
2011-05-05,80.05,80.92,79.37,79.61,3300000,78.19
2011-05-06,80.44,80.82,80.07,80.45,2214700,79.02
2011-05-09,80.47,81.50,80.33,81.40,1519700,79.95
2011-05-10,81.68,82.70,81.55,82.23,2069300,80.77
2011-05-11,82.03,82.27,81.19,81.70,1600000,80.48
2011-05-12,81.73,83.40,81.49,83.32,2500000,82.08
2011-05-13,83.27,83.59,82.57,82.72,2215700,81.48
2011-05-16,82.55,82.65,82.10,82.31,1768100,81.08
2011-05-17,82.17,82.88,82.05,82.71,1538300,81.47
2011-05-18,82.63,83.37,82.05,83.24,1630900,82.00
2011-05-19,83.34,83.90,83.10,83.86,1137300,82.61
2011-05-20,83.77,83.95,82.31,83.40,2223400,82.15
2011-05-23,82.62,83.28,82.28,82.64,2400000,81.41
2011-05-24,82.97,82.97,81.27,81.35,3623100,80.14
2011-05-25,80.32,80.77,79.14,80.32,5232000,79.12
2011-05-26,80.06,80.92,79.61,80.81,2353600,79.60
2011-05-27,80.93,81.81,80.81,81.53,1736000,80.31
2011-05-31,81.94,82.50,81.66,82.48,2230300,81.25
2011-06-01,82.34,82.51,80.14,80.21,2708800,79.01
2011-06-02,80.83,80.86,78.97,79.00,4003400,77.82
2011-06-03,78.60,78.85,77.76,77.81,3377400,76.65
2011-06-06,77.55,78.15,77.31,77.69,2496700,76.53
2011-06-07,78.08,78.95,77.83,78.36,2467000,77.19
2011-06-08,78.37,79.66,78.25,78.93,2517700,77.75
2011-06-09,79.00,79.70,78.64,79.03,1843700,77.85
2011-06-10,79.10,79.28,78.23,78.30,2121900,77.13
2011-06-13,78.45,79.02,78.05,78.45,1381100,77.28
2011-06-14,79.14,79.42,78.80,79.24,1746900,78.06
2011-06-15,78.55,78.96,77.74,77.93,1765800,76.77
2011-06-16,77.88,78.91,77.75,78.85,2191800,77.67
2011-06-17,79.98,80.66,79.23,79.63,4217400,78.44
2011-06-20,79.71,81.30,79.64,81.25,2178600,80.04
2011-06-21,81.39,81.44,80.54,81.39,2242000,80.17
2011-06-22,81.10,81.36,80.50,80.52,1545700,79.32
2011-06-23,79.75,80.59,79.32,80.40,2315900,79.20
2011-06-24,81.13,81.13,79.13,79.13,2462600,77.95
2011-06-27,78.95,80.06,78.92,79.85,1841200,78.66
2011-06-28,79.99,80.17,79.63,79.99,1786600,78.80
2011-06-29,80.20,80.68,79.88,80.03,2262000,78.83
2011-06-30,80.27,81.34,79.98,81.24,2410500,80.03
2011-07-01,81.50,81.70,81.04,81.54,2087500,80.32
2011-07-05,81.69,81.95,80.97,81.29,1860800,80.08
2011-07-06,81.37,82.94,81.37,82.64,2155600,81.41
2011-07-07,83.20,83.45,81.61,82.06,3197400,80.83
2011-07-08,81.59,82.00,80.91,81.41,1992300,80.19
2011-07-11,80.68,81.08,80.44,80.68,1590300,79.48
2011-07-12,80.89,81.76,80.65,80.71,1725100,79.50
2011-07-13,80.99,81.56,80.31,80.84,1448500,79.63
2011-07-14,80.87,81.47,80.13,80.33,1558500,79.13
2011-07-15,80.36,80.57,79.40,79.86,2212200,78.67
2011-07-18,79.53,79.81,78.81,79.11,1486900,77.93
2011-07-19,79.76,80.95,79.70,80.81,1839400,79.60
2011-07-20,80.82,80.88,79.85,80.69,1562400,79.49
2011-07-21,80.87,82.12,80.67,81.52,1729600,80.30
2011-07-22,81.67,81.83,81.15,81.67,991500,80.45
2011-07-25,81.20,81.59,81.06,81.16,1174200,79.95
