Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,14.14,14.20,13.81,13.86,8341100,13.86
2010-11-10,13.86,14.07,13.54,13.54,8911000,13.54
2010-11-11,13.38,13.81,13.25,13.54,10201800,13.54
2010-11-12,13.42,13.65,13.40,13.46,5516200,13.46
2010-11-15,13.34,13.47,13.13,13.20,10599300,13.20
2010-11-16,13.10,13.45,12.93,13.15,9095100,13.15
2010-11-17,13.05,13.37,12.87,13.21,10050200,13.21
2010-11-18,13.33,13.87,13.33,13.77,10132800,13.77
2010-11-19,13.70,13.91,13.45,13.76,7462700,13.76
2010-11-22,13.70,13.84,13.48,13.76,7653800,13.76
2010-11-23,13.58,13.73,13.39,13.71,12173300,13.71
2010-11-24,13.74,14.34,13.59,14.33,10658700,14.33
2010-11-26,14.17,14.38,14.12,14.23,4033900,14.23
2010-11-29,14.13,14.26,13.94,14.15,9593900,14.15
2010-11-30,14.12,14.14,13.67,13.68,27737100,13.68
2010-12-01,13.96,14.10,13.75,13.88,9654800,13.88
2010-12-02,13.77,13.93,13.38,13.51,11955500,13.51
2010-12-03,13.40,13.82,13.39,13.63,9256600,13.63
2010-12-06,13.59,13.75,13.31,13.48,9590000,13.48
2010-12-07,13.59,13.63,13.01,13.12,13197600,13.12
2010-12-08,13.03,13.13,12.81,13.10,9767700,13.10
2010-12-09,13.17,13.50,12.92,13.31,12208400,13.31
2010-12-10,13.29,13.36,13.02,13.02,8749700,13.02
2010-12-13,13.08,13.21,12.90,13.08,10138200,13.08
2010-12-14,13.02,13.27,12.95,13.07,7993000,13.07
2010-12-15,12.98,13.12,12.56,12.64,13393200,12.64
2010-12-16,12.67,12.90,12.57,12.57,12697900,12.57
2010-12-17,12.57,12.67,12.35,12.46,9038700,12.46
2010-12-20,12.52,12.65,12.33,12.53,5587700,12.53
2010-12-21,12.54,12.85,12.45,12.65,7408300,12.65
2010-12-22,12.61,12.66,12.23,12.43,12164600,12.43
2010-12-23,12.45,12.45,12.15,12.23,6568900,12.23
2010-12-27,12.29,12.67,12.21,12.45,7330900,12.45
2010-12-28,12.41,12.67,12.41,12.48,5098800,12.48
2010-12-29,12.47,12.73,12.44,12.66,5223100,12.66
2010-12-30,12.66,12.76,12.42,12.49,6807300,12.49
2010-12-31,12.45,12.63,12.42,12.60,4262400,12.60
2011-01-03,12.69,12.85,12.47,12.58,15060100,12.58
2011-01-04,12.58,12.79,12.37,12.53,19143500,12.53
2011-01-05,12.65,13.21,12.58,12.98,23780500,12.98
2011-01-06,12.93,13.11,12.73,12.91,13100900,12.91
2011-01-07,12.89,13.06,12.80,13.00,12458400,13.00
2011-01-10,12.98,12.98,12.56,12.60,10294200,12.60
2011-01-11,12.70,12.70,12.32,12.35,7395400,12.35
2011-01-12,12.52,12.55,12.32,12.51,6715400,12.51
2011-01-13,12.58,12.68,12.28,12.61,8514800,12.61
2011-01-14,12.51,12.81,12.50,12.75,11113000,12.75
