Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,170.30,170.85,166.00,166.55,7343900,162.28
2010-11-10,166.31,168.65,165.57,167.22,6328100,162.94
2010-11-11,165.79,168.89,165.79,167.71,3931500,163.41
2010-11-12,166.39,168.12,164.65,165.83,4735600,161.58
2010-11-15,165.68,169.35,165.01,167.22,5199000,162.94
2010-11-16,165.80,167.00,164.66,165.10,5914100,160.87
2010-11-17,165.12,165.73,164.00,164.89,3726300,160.67
2010-11-18,165.69,168.93,165.60,167.35,4987500,163.06
2010-11-19,167.50,167.75,165.70,166.67,4584500,162.40
2010-11-22,164.30,164.38,158.45,161.05,11364000,156.93
2010-11-23,159.10,160.90,157.66,157.78,7315000,153.74
2010-11-24,158.96,160.70,158.55,160.26,4258200,156.16
2010-11-26,158.46,159.35,158.07,158.22,1876900,154.17
2010-11-29,157.49,160.00,157.00,159.28,4819900,155.20
2010-11-30,158.07,159.33,156.14,156.14,5416900,152.48
2010-12-01,158.45,159.20,157.00,158.45,6024000,154.73
2010-12-02,159.16,163.25,158.84,162.50,7208600,158.69
2010-12-03,161.31,162.50,160.95,162.31,4658000,158.50
2010-12-06,161.66,163.19,161.49,162.65,3686300,158.83
2010-12-07,164.52,164.77,161.44,161.59,5527700,157.80
2010-12-08,161.96,166.14,161.89,166.14,5259500,162.24
2010-12-09,167.00,167.75,165.75,166.45,5746400,162.54
2010-12-10,166.41,168.47,165.90,168.47,4543600,164.52
2010-12-13,168.25,170.92,167.90,169.48,5325200,165.50
2010-12-14,169.67,169.99,166.84,167.33,4892700,163.40
2010-12-15,166.64,167.29,165.11,165.21,4358100,161.33
2010-12-16,165.69,165.91,163.21,164.46,4164400,160.60
2010-12-17,163.92,165.00,163.12,164.04,5343000,160.19
2010-12-20,163.74,166.90,163.65,166.05,3719100,162.15
2010-12-21,166.54,168.88,166.50,168.23,4546900,164.28
2010-12-22,168.67,169.68,167.90,169.60,3858500,165.62
2010-12-23,169.10,169.70,167.17,167.60,2494000,163.67
2010-12-27,166.79,170.00,166.41,169.83,2715000,165.84
2010-12-28,170.00,171.23,168.83,169.19,2862900,165.22
2010-12-29,169.40,169.78,166.57,167.63,3329800,163.70
2010-12-30,168.09,168.25,166.99,167.64,1745400,163.71
2010-12-31,167.58,168.80,167.01,168.16,1636300,164.21
2011-01-03,170.55,173.25,169.85,173.05,5717100,168.99
2011-01-04,173.87,174.00,172.00,173.08,3335500,169.02
2011-01-05,172.05,174.49,172.00,174.00,4140600,169.92
2011-01-06,174.51,174.59,171.98,172.21,5375200,168.17
2011-01-07,172.70,172.89,169.36,170.69,4916100,166.68
2011-01-10,170.00,171.29,169.20,169.76,3650300,165.78
2011-01-11,170.50,171.43,168.32,169.36,4572300,165.39
2011-01-12,169.39,172.31,169.18,171.67,5592900,167.64
2011-01-13,172.04,172.60,171.00,171.57,3183800,167.54
2011-01-14,171.19,175.00,171.19,175.00,5885100,170.89
2011-01-18,174.75,175.34,173.05,174.68,4981200,170.58
2011-01-19,169.46,171.49,165.86,166.49,13372700,162.58
2011-01-20,166.55,167.06,164.01,165.69,8914900,161.80
2011-01-21,165.88,169.20,165.12,166.20,5876500,162.30
2011-01-24,165.99,167.07,165.75,166.30,4624300,162.40
2011-01-25,163.05,164.79,160.12,161.98,11259800,158.18
2011-01-26,161.70,162.84,161.04,161.31,6738000,157.52
2011-01-27,161.13,164.25,161.11,164.03,6036000,160.18
2011-01-28,164.16,165.09,161.42,161.77,4570000,157.97
2011-01-31,161.38,163.72,161.23,163.62,3792800,159.78
2011-02-01,163.86,166.25,163.61,165.33,4138400,161.45
2011-02-02,165.15,166.64,164.20,165.05,2986200,161.18
2011-02-03,164.99,164.99,161.84,164.64,4710400,160.78
2011-02-04,164.88,164.98,162.76,164.83,3354500,160.96
2011-02-07,164.79,168.10,164.60,167.13,5036700,163.21
2011-02-08,167.02,168.72,166.26,168.55,4718700,164.59
2011-02-09,168.23,168.23,164.66,166.01,5663900,162.11
2011-02-10,165.15,166.65,164.68,165.34,4265800,161.46
2011-02-11,165.11,167.69,164.81,166.66,4257100,162.75
2011-02-14,166.15,167.80,165.51,167.52,3547200,163.59
2011-02-15,167.32,168.44,166.82,167.91,4025900,163.97
2011-02-16,168.56,169.90,168.00,168.81,4606300,164.85
2011-02-17,168.54,168.69,167.00,167.16,4448100,163.24
2011-02-18,167.04,168.30,166.85,168.04,3728100,164.10
2011-02-22,165.67,165.76,162.35,162.94,5448200,159.12
2011-02-23,162.63,164.80,161.77,163.09,4560400,159.26
2011-02-24,162.20,163.90,161.32,163.44,4619300,159.60
2011-02-25,164.05,165.88,163.52,165.12,4636200,161.25
2011-02-28,165.53,166.25,163.11,163.78,4235200,160.28
2011-03-01,163.55,164.49,161.30,161.31,7015500,157.86
2011-03-02,161.58,163.33,161.11,161.69,4658400,158.23
2011-03-03,162.71,165.18,162.69,164.49,4581200,160.97
2011-03-04,162.88,163.00,160.36,161.00,7810800,157.56
2011-03-07,161.41,161.84,158.50,159.15,7004100,155.75
2011-03-08,159.43,161.78,159.04,161.30,4845900,157.85
2011-03-09,161.85,163.72,161.58,162.35,4125200,158.88
2011-03-10,160.80,161.00,159.99,160.27,4563400,156.84
2011-03-11,159.85,161.55,159.84,160.68,2883900,157.24
2011-03-14,159.94,160.50,158.02,158.43,4376100,155.04
2011-03-15,156.06,158.05,154.85,157.25,5243600,153.89
2011-03-16,157.23,157.24,153.26,154.38,7223400,151.08
2011-03-17,155.93,156.35,153.95,155.75,5293900,152.42
2011-03-18,156.60,160.25,155.24,159.96,10170600,156.54
2011-03-21,161.62,162.15,159.90,160.21,4663300,156.78
2011-03-22,160.64,162.21,160.12,160.79,3538900,157.35
2011-03-23,160.02,160.23,158.24,159.53,3603300,156.12
2011-03-24,160.35,160.50,158.83,159.91,2734400,156.49
2011-03-25,160.51,160.51,157.70,157.97,4020700,154.59
2011-03-28,158.20,159.29,156.41,156.47,3686800,153.12
2011-03-29,156.60,158.70,155.53,158.47,3769400,155.08
2011-03-30,159.03,160.43,157.47,159.07,2967200,155.67
2011-03-31,157.38,160.07,157.32,158.60,3317700,155.21
2011-04-01,159.77,162.00,159.66,160.23,3787900,156.80
2011-04-04,160.76,160.88,158.60,158.90,2816800,155.50
2011-04-05,158.46,159.15,157.62,158.91,3173700,155.51
2011-04-06,159.89,161.99,158.85,161.89,4198700,158.43
2011-04-07,161.99,164.40,161.57,162.40,4589200,158.93
2011-04-08,163.49,163.62,160.82,160.96,3280800,157.52
2011-04-11,160.54,162.91,160.54,161.47,3126900,158.02
2011-04-12,160.25,161.44,159.45,160.42,3328100,156.99
2011-04-13,162.50,163.98,159.83,160.17,5145000,156.74
2011-04-14,157.51,157.60,155.25,155.79,7982300,152.46
2011-04-15,156.18,156.95,154.63,155.13,5608300,151.81
2011-04-18,154.05,154.88,151.52,153.78,5992900,150.49
2011-04-19,156.09,156.10,149.55,151.86,13463800,148.61
2011-04-20,153.17,154.15,151.50,152.70,7181300,149.43
2011-04-21,153.09,154.33,152.70,153.51,3977500,150.23
