Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,64.47,64.50,64.10,64.31,9218500,59.85
2010-11-10,64.24,64.34,63.55,63.95,10795400,59.52
2010-11-11,63.70,63.95,63.58,63.92,9109500,59.49
2010-11-12,63.69,64.09,63.51,63.67,12944800,59.26
2010-11-15,64.11,64.69,63.98,64.14,12729400,59.69
2010-11-16,63.65,63.95,62.65,63.14,15651000,58.76
2010-11-17,63.13,63.29,62.92,63.06,7416900,58.69
2010-11-18,63.47,64.00,63.30,63.83,9400100,59.41
2010-11-19,63.89,64.22,63.65,63.83,12889800,59.41
2010-11-22,63.50,63.82,63.09,63.62,11179200,59.21
2010-11-23,62.99,63.25,62.65,62.87,14766500,58.51
2010-11-24,63.03,63.49,62.93,63.29,9591400,58.90
2010-11-26,62.50,62.57,62.14,62.30,4638800,58.48
2010-11-29,61.81,62.01,61.39,61.91,12019300,58.11
2010-11-30,61.48,61.82,61.25,61.55,12633500,57.78
2010-12-01,62.18,62.48,61.82,62.42,15364700,58.59
2010-12-02,62.39,62.88,62.27,62.60,10160400,58.76
2010-12-03,62.51,62.77,62.23,62.56,9882800,58.72
2010-12-06,62.31,62.48,62.20,62.20,8989000,58.39
2010-12-07,62.56,62.74,62.25,62.31,9528800,58.49
2010-12-08,62.22,62.56,62.14,62.45,7871900,58.62
2010-12-09,62.43,62.96,61.75,62.06,12965600,58.25
2010-12-10,62.19,62.33,61.69,61.91,11457300,58.11
2010-12-13,61.83,61.97,61.56,61.86,13672100,58.07
2010-12-14,62.03,62.94,61.89,62.77,13491200,58.92
2010-12-15,62.93,63.16,62.44,62.57,11534100,58.73
2010-12-16,62.75,62.79,62.04,62.40,11141100,58.57
2010-12-17,62.25,62.54,61.98,62.54,15961000,58.71
2010-12-20,62.54,62.65,62.23,62.49,8907000,58.66
2010-12-21,62.79,62.80,62.28,62.34,7908200,58.52
2010-12-22,62.33,62.40,61.92,62.02,8850100,58.22
2010-12-23,62.02,62.46,62.02,62.25,7229500,58.43
2010-12-27,62.19,62.24,61.82,61.93,5163700,58.13
2010-12-28,62.06,62.30,61.90,62.05,6354200,58.25
2010-12-29,62.12,62.44,62.11,62.13,4968700,58.32
2010-12-30,62.10,62.19,61.90,61.94,5770100,58.14
2010-12-31,61.90,62.09,61.75,61.85,4981400,58.06
2011-01-03,62.63,63.18,62.53,62.82,14894800,58.97
2011-01-04,63.13,63.35,62.75,63.35,12346300,59.47
2011-01-05,63.41,63.54,62.95,63.31,11837900,59.43
2011-01-06,63.43,63.53,62.90,63.21,7606000,59.33
2011-01-07,63.20,63.25,62.56,62.60,11084800,58.76
2011-01-10,62.29,62.40,62.00,62.16,9775000,58.35
2011-01-11,62.22,62.35,62.00,62.27,7372800,58.45
2011-01-12,62.45,62.88,62.32,62.50,8312700,58.67
2011-01-13,62.56,62.98,62.35,62.91,9489700,59.05
2011-01-14,62.95,62.97,62.25,62.55,11274700,58.71
2011-01-18,62.22,62.59,62.01,62.10,13944900,58.29
2011-01-19,62.05,62.61,62.01,62.56,9596700,58.72
2011-01-20,62.73,63.10,62.54,62.86,11518600,59.01
2011-01-21,63.25,63.25,62.46,62.66,12932200,58.82
2011-01-24,62.56,62.72,62.16,62.22,11373000,58.41
2011-01-25,60.89,61.63,60.71,61.08,28056700,57.33
2011-01-26,61.18,61.25,60.60,60.60,20262100,56.88
2011-01-27,60.64,61.04,60.60,60.68,11219500,56.96
2011-01-28,60.91,61.00,60.00,60.01,15298800,56.33
2011-01-31,60.16,60.22,59.69,59.77,19056200,56.11
2011-02-01,59.70,60.74,59.70,60.63,14780500,56.91
2011-02-02,60.46,60.76,60.28,60.62,9994200,56.90
2011-02-03,60.66,60.97,60.59,60.80,10078900,57.07
2011-02-04,60.94,60.99,60.65,60.84,9725500,57.11
2011-02-07,60.88,60.99,60.65,60.87,8217000,57.14
2011-02-08,60.94,60.99,60.75,60.94,7867600,57.20
2011-02-09,60.93,60.94,60.64,60.88,8541500,57.15
2011-02-10,60.64,61.07,60.42,60.93,8627500,57.19
2011-02-11,60.74,61.17,60.51,60.70,9630800,56.98
2011-02-14,60.69,60.98,60.65,60.70,8130800,56.98
2011-02-15,60.60,60.70,60.48,60.62,8572800,56.90
2011-02-16,60.61,60.74,60.50,60.52,9426400,56.81
2011-02-17,60.37,60.93,60.33,60.79,7133700,57.06
2011-02-18,60.89,61.22,60.55,61.11,12393000,57.36
2011-02-22,60.68,60.99,60.45,60.65,11050500,56.93
2011-02-23,60.76,61.08,60.37,60.39,12100300,56.69
2011-02-24,60.47,60.50,60.03,60.25,11766700,56.56
2011-02-25,59.92,59.95,59.36,59.64,11863700,56.49
2011-02-28,59.93,61.45,59.77,61.44,20031000,58.19
2011-03-01,61.25,61.50,60.60,60.70,14035300,57.49
2011-03-02,60.50,60.93,60.36,60.81,10264600,57.60
2011-03-03,61.12,61.20,60.81,61.05,7802700,57.83
2011-03-04,61.29,61.29,60.34,61.06,11432700,57.83
2011-03-07,61.09,61.10,60.30,60.40,9584000,57.21
2011-03-08,60.48,60.99,60.34,60.71,8881800,57.50
2011-03-09,60.74,61.06,60.32,60.40,10082600,57.21
2011-03-10,60.14,60.30,59.40,59.61,14852300,56.46
2011-03-11,59.24,59.87,59.11,59.69,10426600,56.54
2011-03-14,59.49,59.49,58.92,59.13,11775000,56.01
2011-03-15,58.79,58.84,58.02,58.48,16016800,55.39
2011-03-16,58.57,58.57,57.50,57.66,16995600,54.61
2011-03-17,58.21,58.38,57.90,58.13,12456000,55.06
2011-03-18,58.56,58.69,58.10,58.57,14371900,55.48
2011-03-21,58.67,59.16,58.67,58.83,10692700,55.72
2011-03-22,58.80,59.15,58.70,58.79,10151800,55.68
2011-03-23,58.72,58.89,58.50,58.72,9899800,55.62
2011-03-24,58.98,59.08,58.73,59.03,8655800,55.91
2011-03-25,59.01,59.09,58.65,58.98,8077400,55.86
2011-03-28,58.98,59.30,58.98,59.24,8382500,56.11
2011-03-29,58.98,59.31,58.93,59.22,9280300,56.09
2011-03-30,59.34,59.73,59.24,59.38,10736400,56.24
2011-03-31,59.21,59.70,59.21,59.25,9680200,56.12
2011-04-01,59.63,59.64,59.06,59.49,9908000,56.35
2011-04-04,59.50,60.18,59.46,60.15,9415100,56.97
2011-04-05,59.75,59.96,59.48,59.80,10600000,56.64
2011-04-06,59.70,59.90,59.60,59.66,10011200,56.51
2011-04-07,59.72,59.76,59.25,59.48,9232900,56.34
2011-04-08,59.73,59.78,59.31,59.46,7853200,56.32
2011-04-11,59.54,60.17,59.50,59.86,9845800,56.70
2011-04-12,59.66,60.08,59.66,59.94,9208000,56.77
2011-04-13,59.66,59.95,59.51,59.60,10509000,56.45
2011-04-14,59.55,60.12,59.49,60.02,10436200,56.85
2011-04-15,60.24,60.95,59.98,60.56,18608500,57.36
2011-04-18,60.45,61.19,60.10,60.46,20034800,57.27
2011-04-19,62.00,62.87,61.80,62.69,26083100,59.38
2011-04-20,63.21,64.54,63.18,64.39,26732100,60.99
2011-04-21,63.81,64.30,63.77,64.07,11688100,60.69
2011-04-25,63.65,64.20,63.51,64.11,7226900,60.72
2011-04-26,64.07,65.30,64.07,64.95,14500000,61.52
2011-04-27,63.45,65.60,63.40,65.57,23777500,62.11
2011-04-28,65.39,65.74,64.93,65.38,13091400,61.93
2011-04-29,65.59,65.97,65.40,65.72,12100000,62.25
2011-05-02,65.92,66.31,65.81,66.21,15456200,62.71
2011-05-03,66.11,66.46,66.01,66.26,13105500,62.76
2011-05-04,66.00,66.32,65.37,65.67,13408900,62.20
2011-05-05,65.45,65.61,64.80,65.01,14925200,61.58
2011-05-06,65.25,65.50,65.12,65.27,11904600,61.82
2011-05-09,65.11,65.76,65.07,65.63,9003100,62.16
2011-05-10,65.61,65.80,65.28,65.76,9693100,62.29
2011-05-11,66.32,66.74,65.81,66.57,19986100,63.05
2011-05-12,66.04,67.37,65.82,67.19,15622200,63.64
2011-05-13,67.09,67.25,65.95,66.62,11700900,63.10
2011-05-16,66.41,66.79,66.19,66.37,11513200,62.86
2011-05-17,66.23,66.48,65.86,66.40,10784100,62.89
2011-05-18,66.17,66.51,65.94,66.50,9028400,62.99
2011-05-19,66.53,66.53,65.85,66.39,9685100,62.88
2011-05-20,66.25,66.33,65.28,65.69,12367000,62.22
2011-05-23,65.19,65.69,65.08,65.56,12020200,62.10
2011-05-24,65.74,66.23,65.50,65.78,11017700,62.31
2011-05-25,66.29,66.59,66.07,66.29,14767100,62.79
2011-05-26,65.59,65.78,65.28,65.51,12044100,62.59
2011-05-27,65.79,66.97,65.60,66.77,16385700,63.79
2011-05-31,67.31,67.34,66.99,67.29,16473800,64.29
2011-06-01,67.02,67.29,66.46,66.48,11003400,63.51
2011-06-02,66.44,66.76,66.28,66.48,9582900,63.51
2011-06-03,65.84,66.36,65.80,66.09,10364900,63.14
2011-06-06,65.87,66.22,65.84,66.05,8397400,63.10
2011-06-07,66.00,66.28,65.50,65.50,10426800,62.58
2011-06-08,65.49,66.23,65.18,66.14,10020300,63.19
2011-06-09,66.33,67.28,66.17,66.78,14054500,63.80
2011-06-10,66.49,66.68,66.09,66.09,9312900,63.14
2011-06-13,66.59,66.96,66.26,66.59,8146200,63.62
2011-06-14,66.95,67.36,66.75,67.10,11389100,64.11
2011-06-15,67.00,67.00,65.71,66.16,12623500,63.21
2011-06-16,65.70,66.35,65.47,66.32,11683900,63.36
2011-06-17,66.63,66.95,66.19,66.29,14336400,63.33
2011-06-20,66.08,66.74,66.07,66.51,9309200,63.54
2011-06-21,66.52,66.75,66.16,66.49,9811500,63.52
2011-06-22,66.47,66.62,66.05,66.07,7988100,63.12
2011-06-23,65.54,65.74,64.69,65.67,16234800,62.74
2011-06-24,65.57,65.61,64.83,65.06,13186200,62.16
2011-06-27,65.29,65.61,65.00,65.25,7199500,62.34
2011-06-28,65.59,66.12,65.38,65.91,7724600,62.97
2011-06-29,66.23,66.59,65.93,66.31,9227000,63.35
2011-06-30,66.42,66.91,66.25,66.52,9747200,63.55
2011-07-01,66.48,67.36,66.27,67.30,9216500,64.30
2011-07-05,67.29,67.67,67.25,67.62,9773600,64.60
2011-07-06,67.63,67.75,67.37,67.55,7100400,64.54
2011-07-07,67.82,68.05,67.40,67.92,8415200,64.89
2011-07-08,67.81,67.99,67.19,67.57,7866100,64.56
2011-07-11,66.88,67.41,66.83,67.27,8918900,64.27
2011-07-12,66.90,67.68,66.83,67.03,10528700,64.04
2011-07-13,67.39,67.98,67.21,67.63,9031700,64.61
2011-07-14,67.60,67.93,67.47,67.66,9636500,64.64
2011-07-15,67.73,67.95,66.99,67.45,10245100,64.44
2011-07-18,67.17,67.35,66.55,67.09,10361000,64.10
2011-07-19,67.10,67.22,66.15,66.72,13677400,63.74
2011-07-20,66.57,66.90,66.06,66.24,8912600,63.29
2011-07-21,66.45,66.79,66.13,66.47,11394100,63.50
2011-07-22,66.69,66.79,66.49,66.72,7721000,63.74
2011-07-25,66.21,66.43,66.01,66.25,10247700,63.29
2011-07-26,66.17,66.32,65.87,65.92,10008300,62.98
2011-07-27,65.76,65.87,65.14,65.23,12810400,62.32
2011-07-28,65.23,65.62,64.78,65.08,9920400,62.18
2011-07-29,64.74,64.93,64.13,64.79,16829000,61.90
2011-08-01,65.28,65.33,63.66,64.41,15842200,61.54
2011-08-02,64.11,64.35,63.43,63.43,17118300,60.60
2011-08-03,63.37,63.53,61.86,63.41,17660300,60.58
2011-08-04,62.61,63.16,61.81,61.84,23485600,59.08
2011-08-05,62.12,63.43,61.05,62.71,24037800,59.91
2011-08-08,61.80,62.58,61.05,61.12,32423200,58.39
2011-08-09,61.71,62.37,59.08,62.20,36288000,59.43
2011-08-10,61.62,61.96,60.01,60.20,32688900,57.51
2011-08-11,60.18,64.19,60.13,63.44,33514400,60.61
2011-08-12,63.61,63.99,62.90,63.36,42324600,60.53
2011-08-15,63.85,64.62,63.61,64.59,39362000,61.71
2011-08-16,63.77,64.71,63.69,64.36,13142100,61.49
2011-08-17,64.56,64.85,63.80,64.26,11847600,61.39
2011-08-18,63.19,63.58,62.02,63.16,23376400,60.34
2011-08-19,62.91,63.78,62.74,63.14,19394800,60.32
2011-08-22,63.99,64.10,63.01,63.29,13689300,60.47
2011-08-23,63.52,64.99,63.42,64.97,14879000,62.07
2011-08-24,65.38,65.70,64.84,65.53,14523000,62.61
2011-08-25,65.49,65.49,64.20,64.55,13134400,61.67
2011-08-26,63.55,64.57,62.50,64.28,14150600,61.96
2011-08-29,64.64,65.92,64.56,65.86,12867900,63.48
2011-08-30,65.82,66.04,65.19,65.77,11183000,63.40
2011-08-31,66.03,66.23,65.34,65.80,14555300,63.42
2011-09-01,65.66,66.14,65.11,65.33,11141100,62.97
2011-09-02,64.83,65.00,63.91,64.07,13713600,61.76
2011-09-06,63.17,64.75,62.50,64.64,15848300,62.31
2011-09-07,65.04,65.45,64.69,65.43,10759700,63.07
2011-09-08,64.96,65.93,64.84,64.95,15551500,62.61
2011-09-09,64.39,64.41,63.29,63.64,17008200,61.34
2011-09-12,63.10,63.61,62.30,63.59,13448200,61.29
2011-09-13,63.99,64.05,63.18,63.61,11595300,61.31
2011-09-14,63.95,64.47,62.98,63.73,13429500,61.43
2011-09-15,64.28,64.63,63.92,64.40,10625800,62.08
2011-09-16,64.52,64.74,63.96,64.59,15688800,62.26
2011-09-19,64.05,64.39,63.63,64.14,8571800,61.82
2011-09-20,64.42,64.85,63.79,64.22,10874800,61.90
2011-09-21,64.19,64.60,63.10,63.13,10041300,60.85
2011-09-22,62.16,62.60,61.14,61.92,19456900,59.68
2011-09-23,61.30,61.90,61.00,61.59,10983700,59.37
2011-09-26,62.05,62.85,62.01,62.69,10561700,60.43
2011-09-27,63.37,64.35,62.71,63.82,13118200,61.52
2011-09-28,63.90,64.45,63.14,63.25,8964200,60.97
2011-09-29,63.92,64.24,63.02,63.90,8923300,61.59
2011-09-30,63.22,64.74,63.15,63.69,14556100,61.39
2011-10-03,63.65,64.21,62.05,62.08,16891100,59.84
2011-10-04,61.55,62.33,60.83,62.17,18192000,59.93
2011-10-05,62.21,62.51,61.60,62.35,15405200,60.10
2011-10-06,62.52,62.83,62.10,62.81,9595400,60.54
2011-10-07,63.01,63.72,63.00,63.13,12361600,60.85
2011-10-10,63.89,64.43,63.64,64.43,7104000,62.10
2011-10-11,64.26,64.36,63.85,63.96,7628700,61.65
2011-10-12,64.13,64.69,63.87,64.33,9375100,62.01
2011-10-13,64.45,64.45,63.57,64.23,7781100,61.91
2011-10-14,64.69,64.74,64.17,64.72,6678800,62.38
2011-10-17,64.40,64.84,63.62,63.79,10797900,61.49
2011-10-18,63.76,64.74,63.40,64.42,11705300,62.09
2011-10-19,64.51,64.51,62.16,62.64,19964600,60.38
2011-10-20,62.96,63.13,62.31,62.53,11562600,60.27
2011-10-21,63.11,63.84,62.89,63.78,13175400,61.48
2011-10-24,63.90,64.79,63.60,64.73,12552700,62.39
2011-10-25,64.56,64.83,63.56,63.69,10324800,61.39
2011-10-26,64.19,64.60,63.79,64.49,9932100,62.16
2011-10-27,64.99,65.69,64.71,65.50,16450700,63.14
2011-10-28,65.64,65.85,65.03,65.60,10390800,63.23
2011-10-31,65.17,65.86,64.38,64.39,13720400,62.07
2011-11-01,63.68,64.10,63.18,63.38,14749900,61.09
2011-11-02,64.39,64.39,63.41,63.64,10136200,61.34
2011-11-03,64.07,64.52,63.67,64.34,10466000,62.02
2011-11-04,64.00,64.54,63.41,64.12,9725200,61.81
2011-11-07,63.96,64.34,63.25,64.00,8783900,61.69
2011-11-08,64.09,64.99,63.95,64.86,7989500,62.52
2011-11-09,64.07,64.13,63.10,63.53,11072500,61.24
2011-11-10,64.13,64.42,63.66,64.12,7597500,61.81
2011-11-11,64.62,65.49,64.62,65.25,9086800,62.89
2011-11-14,64.97,65.33,64.65,64.91,8276100,62.57
2011-11-15,64.97,65.29,64.51,64.99,10726300,62.64
2011-11-16,64.53,65.16,64.30,64.40,8398100,62.08
2011-11-17,64.17,64.51,63.30,63.94,13924700,61.63
2011-11-18,64.19,64.20,63.56,63.85,12659600,61.55
2011-11-21,63.27,63.34,62.88,62.94,32806700,60.67
2011-11-22,62.95,63.20,62.70,62.90,8680000,60.63
2011-11-23,62.59,62.65,61.99,61.99,10362800,59.75
2011-11-25,61.31,61.64,61.05,61.27,5838800,59.61
2011-11-28,61.88,62.71,61.78,62.37,11678000,60.68
2011-11-29,62.82,63.13,62.46,62.78,8923600,61.08
2011-11-30,63.92,64.74,63.80,64.72,15032600,62.96
2011-12-01,64.68,64.95,64.35,64.45,9852700,62.70
2011-12-02,64.87,64.89,63.30,63.47,15792800,61.75
2011-12-05,64.10,64.25,62.85,63.36,15294500,61.64
2011-12-06,63.61,63.93,63.26,63.49,10417800,61.77
2011-12-07,63.57,64.81,63.37,64.45,11504700,62.70
2011-12-08,64.14,64.45,63.56,63.78,9566800,62.05
2011-12-09,64.32,64.68,63.98,64.53,8835700,62.78
2011-12-12,63.87,64.20,63.35,63.51,10808700,61.79
2011-12-13,64.08,64.08,63.14,63.36,14215500,61.64
2011-12-14,63.38,63.78,62.93,63.18,9802400,61.46
2011-12-15,63.65,64.10,63.57,64.00,9656700,62.26
2011-12-16,64.36,64.37,63.55,64.30,19214300,62.55
2011-12-19,64.18,64.28,63.36,63.53,9024700,61.80
2011-12-20,64.02,64.73,64.01,64.52,12247700,62.77
2011-12-21,64.81,65.00,64.58,64.96,8517800,63.20
2011-12-22,65.06,65.26,64.62,65.18,7428000,63.41
2011-12-23,65.23,66.00,65.18,65.98,6503300,64.19
2011-12-27,65.99,66.32,65.90,66.02,4995100,64.23
2011-12-28,65.97,66.03,65.30,65.45,5943900,63.67
2011-12-29,65.31,66.03,65.25,65.88,5702400,64.09
2011-12-30,65.59,65.93,65.53,65.58,4959700,63.80
2012-01-03,65.59,66.00,65.25,65.88,16116200,64.09
2012-01-04,65.75,65.88,65.11,65.48,9243100,63.70
2012-01-05,65.32,65.60,64.83,65.40,11886900,63.62
2012-01-06,65.44,65.46,64.61,64.83,15359900,63.07
2012-01-09,64.96,65.09,64.41,64.93,7934600,63.17
2012-01-10,65.11,65.40,65.00,65.20,8476600,63.43
2012-01-11,65.11,65.54,64.84,65.13,6784600,63.36
2012-01-12,65.28,65.41,64.93,65.23,7402900,63.46
2012-01-13,64.97,65.28,64.36,65.26,8978800,63.49
2012-01-17,65.54,65.69,64.50,65.12,8359900,63.35
2012-01-18,65.26,65.37,65.00,65.28,8095600,63.51
2012-01-19,65.16,65.25,64.79,65.19,11699800,63.42
2012-01-20,65.28,65.55,64.54,65.27,14715500,63.50
2012-01-23,65.23,65.33,64.88,65.00,10125000,63.24
2012-01-24,64.34,65.45,64.34,65.00,12367900,63.24
2012-01-25,64.83,65.30,64.76,65.22,10531400,63.45
2012-01-26,65.53,65.88,65.22,65.70,12546100,63.92
2012-01-27,65.62,65.87,65.46,65.56,10466300,63.78
2012-01-30,65.33,65.71,65.13,65.71,7482100,63.93
2012-01-31,65.86,65.95,65.56,65.91,13562900,64.12
2012-02-01,65.97,66.32,65.65,65.69,12275900,63.91
2012-02-02,65.94,65.97,65.35,65.59,8282400,63.81
2012-02-03,65.90,66.02,65.53,65.64,9036200,63.86
2012-02-06,65.46,65.58,65.05,65.19,9535700,63.42
2012-02-07,65.16,65.39,65.02,65.26,9248100,63.49
2012-02-08,65.20,65.35,65.09,65.24,6889400,63.47
2012-02-09,65.16,65.35,64.82,64.89,10936200,63.13
