Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,40.43,40.68,39.73,39.90,32800100,37.92
2010-11-10,39.87,40.64,39.59,40.62,35587900,38.61
2010-11-11,40.27,40.44,39.85,40.02,25499700,38.04
2010-11-12,39.86,40.26,39.38,39.61,33504800,37.65
2010-11-15,39.82,40.64,39.71,40.08,28772500,38.09
2010-11-16,39.74,39.97,39.04,39.61,46023000,37.65
2010-11-17,39.58,39.68,38.98,39.18,32027500,37.24
2010-11-18,39.57,40.00,39.36,39.66,30987600,37.70
2010-11-19,39.41,39.64,39.26,39.41,26542000,37.46
2010-11-22,39.06,39.10,38.21,38.51,33249500,36.60
2010-11-23,38.01,38.22,37.60,37.63,35340400,35.77
2010-11-24,37.83,38.24,37.59,38.16,24248300,36.27
2010-11-26,37.71,37.98,37.50,37.50,12819100,35.64
2010-11-29,37.47,38.09,37.11,37.91,30911400,36.03
2010-11-30,37.49,37.79,37.24,37.40,33716700,35.55
2010-12-01,37.95,38.19,37.65,38.15,33157200,36.26
2010-12-02,38.43,39.38,38.33,39.31,41526000,37.36
2010-12-03,39.07,39.67,38.70,39.61,30070200,37.65
2010-12-06,39.48,40.05,39.30,39.90,25364500,37.92
2010-12-07,40.35,40.46,39.24,39.25,40908200,37.31
2010-12-08,39.36,40.33,39.06,40.26,38115900,38.27
2010-12-09,40.67,41.10,40.57,40.81,43001900,38.79
2010-12-10,40.89,41.50,40.77,41.43,28449000,39.38
2010-12-13,41.57,41.99,41.16,41.51,35730400,39.45
2010-12-14,41.44,41.50,40.47,40.79,34010800,38.77
2010-12-15,40.73,41.00,40.06,40.21,30264000,38.22
2010-12-16,40.42,40.68,39.82,40.01,37123200,38.03
2010-12-17,40.06,40.07,39.53,39.67,52004800,37.70
2010-12-20,39.83,40.27,39.69,39.95,22978200,37.97
2010-12-21,40.16,41.24,39.98,41.00,30757800,38.97
2010-12-22,41.17,42.54,41.16,42.16,47280400,40.07
2010-12-23,42.15,42.27,41.82,42.08,18927900,40.00
2010-12-27,41.82,42.68,41.80,42.67,17203200,40.56
2010-12-28,42.70,43.12,42.47,42.61,20386600,40.50
2010-12-29,42.58,42.77,42.30,42.36,13637400,40.26
2010-12-30,42.31,42.47,42.05,42.23,12901900,40.14
2010-12-31,42.11,42.45,42.04,42.42,12199700,40.32
2011-01-03,43.00,44.04,42.96,43.58,43278500,41.42
2011-01-04,43.78,44.30,43.34,44.16,40036800,42.02
2011-01-05,43.92,44.95,43.90,44.70,50032500,42.53
2011-01-06,44.40,44.80,44.25,44.48,31606200,42.33
2011-01-07,44.54,44.59,42.65,43.64,69579400,41.53
2011-01-10,43.27,43.77,43.00,43.40,30098100,41.30
2011-01-11,43.70,44.02,43.42,43.60,28067100,41.49
2011-01-12,44.44,44.90,44.25,44.71,44296900,42.54
2011-01-13,44.94,44.97,44.17,44.45,42133000,42.30
2011-01-14,44.51,45.94,44.45,44.91,86983800,42.73
2011-01-18,45.02,45.42,44.50,44.75,46237700,42.58
2011-01-19,44.55,44.97,43.60,43.71,44989200,41.59
2011-01-20,43.83,44.99,43.61,44.75,46977700,42.58
2011-01-21,45.05,45.54,44.85,45.29,44767400,43.10
2011-01-24,45.21,45.48,44.86,45.02,27826800,42.84
2011-01-25,44.82,45.43,44.26,44.87,36022400,42.70
2011-01-26,45.20,45.48,44.87,44.98,25639400,42.80
2011-01-27,44.98,45.38,44.69,45.10,26740900,42.92
2011-01-28,45.05,45.88,44.40,44.54,38593900,42.38
2011-01-31,44.41,45.10,44.40,44.94,23574500,42.76
2011-02-01,45.20,46.00,45.16,45.93,28255500,43.70
2011-02-02,45.79,45.98,45.34,45.45,24104900,43.25
2011-02-03,45.48,45.75,44.84,45.46,23322400,43.26
2011-02-04,45.00,45.17,44.30,44.59,38172900,42.43
2011-02-07,44.75,45.75,44.65,45.50,36790900,43.30
2011-02-08,45.49,45.82,45.31,45.74,28649500,43.52
2011-02-09,45.36,45.50,44.65,45.11,33491000,42.92
2011-02-10,45.10,45.54,44.95,45.53,22688600,43.32
2011-02-11,45.40,46.89,45.40,46.57,40812800,44.31
2011-02-14,46.60,46.90,46.47,46.54,28699200,44.29
2011-02-15,46.56,47.34,46.54,46.82,35972900,44.55
2011-02-16,47.15,48.36,47.10,47.94,44327800,45.62
2011-02-17,47.77,47.99,47.50,47.82,22932600,45.50
2011-02-18,47.82,48.13,47.55,48.00,23844300,45.67
2011-02-22,47.20,47.27,45.85,46.01,44561900,43.78
2011-02-23,46.04,46.50,45.29,45.96,36264800,43.73
2011-02-24,45.63,46.06,45.21,45.91,31926900,43.69
2011-02-25,46.25,46.86,46.12,46.68,26782100,44.42
2011-02-28,46.81,47.18,46.42,46.69,25985300,44.43
2011-03-01,46.47,46.69,45.59,45.60,33682600,43.39
2011-03-02,45.39,45.97,45.07,45.21,28600000,43.02
2011-03-03,45.72,46.33,45.71,46.08,23043600,43.85
2011-03-04,45.98,46.04,45.10,45.52,27716900,43.31
2011-03-07,45.62,45.65,44.76,45.19,28110800,43.00
2011-03-08,45.38,46.69,45.30,46.40,32941500,44.15
2011-03-09,46.33,47.10,46.02,46.56,25174700,44.30
2011-03-10,46.08,46.25,45.26,45.53,33783700,43.32
2011-03-11,45.28,45.84,45.25,45.74,20337600,43.52
2011-03-14,45.42,45.54,44.63,45.30,24508900,43.11
2011-03-15,44.55,44.99,43.85,44.61,35606000,42.45
2011-03-16,44.64,44.78,43.66,43.81,41962900,41.69
2011-03-17,44.46,44.61,43.40,44.56,46741800,42.40
2011-03-18,45.24,46.18,44.75,45.74,77421000,43.52
2011-03-21,46.28,46.32,45.32,45.63,28985300,43.42
2011-03-22,45.66,45.71,45.35,45.47,19756600,43.27
2011-03-23,45.29,45.69,44.77,45.60,26688900,43.39
2011-03-24,45.70,45.84,45.09,45.73,21748100,43.51
2011-03-25,45.70,46.38,45.67,45.86,20710400,43.64
2011-03-28,46.10,46.50,45.95,45.96,19039400,43.73
2011-03-29,45.83,46.04,45.52,46.02,17913300,43.79
2011-03-30,46.53,46.85,46.22,46.45,26829100,44.20
2011-03-31,46.05,46.34,45.96,46.10,23340500,43.87
2011-04-01,46.55,46.88,46.18,46.35,25387300,44.10
2011-04-04,46.12,46.52,46.05,46.34,15708000,44.33
2011-04-05,46.17,46.77,46.05,46.58,21181500,44.56
2011-04-06,46.81,47.73,46.63,47.64,31203300,45.58
2011-04-07,47.64,47.80,46.96,47.40,29972000,45.35
2011-04-08,47.52,47.66,46.63,46.84,23808000,44.81
2011-04-11,47.00,47.27,46.75,46.86,25641600,44.83
2011-04-12,46.55,47.11,46.25,46.64,27231300,44.62
2011-04-13,47.24,47.37,45.88,46.25,55383900,44.25
2011-04-14,45.68,45.75,44.91,44.97,45214600,43.02
2011-04-15,45.24,45.37,44.83,44.89,32475000,42.95
2011-04-18,44.27,44.35,43.53,43.96,50958800,42.06
2011-04-19,44.26,44.71,43.76,44.65,26705000,42.72
2011-04-20,44.90,44.97,43.94,44.56,35542800,42.63
2011-04-21,44.68,44.84,44.12,44.68,24368100,42.75
2011-04-25,44.65,45.02,44.38,44.61,17358900,42.68
2011-04-26,44.85,45.43,44.61,45.12,25900000,43.17
2011-04-27,45.30,45.63,45.05,45.50,20857200,43.53
2011-04-28,45.61,45.93,45.41,45.85,19859000,43.87
2011-04-29,45.81,46.02,45.40,45.63,23363000,43.65
2011-05-02,45.94,45.99,45.11,45.18,25904000,43.22
2011-05-03,44.95,46.07,44.86,45.92,30025500,43.93
2011-05-04,45.98,46.04,45.28,45.50,22727400,43.53
2011-05-05,45.24,45.71,44.99,45.17,26154500,43.21
2011-05-06,45.47,45.71,44.76,45.04,26332300,43.09
2011-05-09,44.75,45.11,44.32,44.96,22469500,43.01
2011-05-10,45.06,45.50,44.98,45.16,20534200,43.21
2011-05-11,45.02,45.04,44.11,44.23,31519600,42.32
2011-05-12,44.10,44.33,43.55,44.09,29567900,42.18
2011-05-13,44.06,44.10,42.98,43.15,32872500,41.28
2011-05-16,42.97,43.48,42.72,42.88,34951100,41.02
2011-05-17,42.68,44.02,42.65,43.81,36277100,41.91
2011-05-18,43.72,44.24,43.41,44.08,24372100,42.17
2011-05-19,44.32,44.35,43.75,44.00,19518000,42.10
2011-05-20,43.83,44.09,43.09,43.13,29946700,41.26
2011-05-23,42.40,42.90,42.30,42.55,32299500,40.71
2011-05-24,42.77,42.92,41.69,42.34,39341400,40.51
2011-05-25,42.27,42.75,42.10,42.27,26505300,40.44
2011-05-26,42.12,42.59,42.10,42.45,21648100,40.61
2011-05-27,42.70,43.15,42.54,42.79,24747300,40.94
2011-05-31,43.24,43.38,42.77,43.24,28746300,41.37
2011-06-01,42.87,42.99,41.73,41.76,38628700,39.95
2011-06-02,41.93,42.20,40.83,41.61,45964000,39.81
2011-06-03,41.09,42.25,41.02,41.57,31833100,39.77
2011-06-06,41.10,41.24,40.37,40.53,40895900,38.78
2011-06-07,40.92,41.31,40.65,40.72,36312000,38.96
2011-06-08,40.58,41.07,40.20,40.39,38890700,38.64
