Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,14.26,14.29,13.85,13.93,5211700,13.86
2010-11-10,13.94,13.99,13.58,13.69,7314800,13.62
2010-11-11,13.59,13.75,13.56,13.69,4524200,13.62
2010-11-12,13.63,13.70,13.48,13.56,3423600,13.49
2010-11-15,13.63,13.70,13.51,13.51,4334200,13.44
2010-11-16,13.41,13.51,13.21,13.30,4669500,13.23
2010-11-17,13.34,13.42,13.19,13.31,4744200,13.24
2010-11-18,13.47,13.69,13.42,13.56,3785400,13.49
2010-11-19,13.53,13.60,13.45,13.57,3188400,13.50
2010-11-22,13.57,13.67,13.46,13.64,3723600,13.57
2010-11-23,13.48,13.50,13.31,13.42,3506100,13.35
2010-11-24,13.48,13.77,13.48,13.75,4052400,13.68
2010-11-26,13.64,13.68,13.46,13.53,2616300,13.46
2010-11-29,13.42,13.63,13.34,13.55,3847200,13.48
2010-11-30,13.41,13.55,13.31,13.32,5383300,13.25
2010-12-01,13.48,13.61,13.39,13.42,6421800,13.35
2010-12-02,13.40,13.54,13.16,13.28,6494600,13.21
2010-12-03,13.19,13.27,13.12,13.20,5318000,13.13
2010-12-06,13.16,13.20,12.98,13.01,5997000,12.94
2010-12-07,13.11,13.20,12.90,12.95,7382600,12.89
2010-12-08,12.96,12.98,12.60,12.82,9043000,12.76
2010-12-09,12.83,12.95,12.72,12.85,6067700,12.79
2010-12-10,12.87,12.93,12.80,12.90,3110500,12.84
2010-12-13,12.95,12.99,12.71,12.84,7455600,12.78
2010-12-14,12.87,12.98,12.81,12.88,6679900,12.82
2010-12-15,12.85,12.91,12.59,12.60,9808000,12.54
2010-12-16,12.60,12.66,12.31,12.64,9031000,12.58
2010-12-17,12.90,12.99,12.64,12.93,9550600,12.87
2010-12-20,12.81,12.99,12.73,12.94,4899800,12.88
2010-12-21,12.96,13.17,12.95,13.10,5004100,13.04
2010-12-22,13.09,13.14,13.02,13.09,3143600,13.03
2010-12-23,13.07,13.10,12.91,12.94,2859300,12.88
2010-12-27,12.92,13.02,12.91,12.99,2405000,12.93
2010-12-28,12.99,13.11,12.96,13.08,2938900,13.02
2010-12-29,13.10,13.19,13.02,13.06,2389800,13.00
2010-12-30,13.04,13.13,12.96,12.97,1885200,12.91
2010-12-31,12.95,13.00,12.83,12.98,3003800,12.92
2011-01-03,13.03,13.29,13.02,13.24,4861000,13.18
2011-01-04,13.24,13.33,13.14,13.32,4863300,13.26
2011-01-05,13.25,13.59,13.20,13.31,6749400,13.25
2011-01-06,13.32,13.36,13.14,13.16,6382600,13.10
2011-01-07,13.22,13.37,13.17,13.29,4803100,13.23
2011-01-10,13.25,13.31,13.12,13.30,4863900,13.24
2011-01-11,13.33,13.33,13.06,13.07,3848800,13.01
2011-01-12,13.13,13.25,13.09,13.16,3769200,13.10
2011-01-13,13.16,13.17,13.03,13.09,3753600,13.03
2011-01-14,13.07,13.26,13.02,13.24,4381400,13.18
2011-01-18,13.15,13.25,13.06,13.08,5068200,13.02
2011-01-19,13.04,13.15,12.80,12.83,6065700,12.77
2011-01-20,13.07,13.18,12.72,12.79,8731600,12.73
2011-01-21,12.85,12.92,12.56,12.57,8871700,12.51
2011-01-24,12.54,12.77,12.48,12.76,7978200,12.70
2011-01-25,12.75,12.76,12.40,12.50,7320400,12.44
2011-01-26,12.59,12.76,12.46,12.46,11521800,12.40
2011-01-27,12.45,12.56,12.40,12.49,5867500,12.43
2011-01-28,12.55,12.55,11.92,11.93,10909800,11.87
2011-01-31,11.99,12.14,11.81,11.85,9270900,11.79
2011-02-01,11.94,12.03,11.80,11.85,8076700,11.79
2011-02-02,11.83,11.83,11.53,11.57,14803400,11.51
2011-02-03,11.44,11.72,11.41,11.68,10946700,11.62
2011-02-04,11.64,11.75,11.61,11.72,7683900,11.66
2011-02-07,11.84,12.09,11.73,12.02,11304900,11.96
