Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,4.47,4.47,4.30,4.30,54105900,42.91
2010-11-10,4.33,4.46,4.31,4.42,50288500,44.11
2010-11-11,4.38,4.41,4.35,4.36,38163300,43.51
2010-11-12,4.33,4.39,4.23,4.29,49740200,42.81
2010-11-15,4.33,4.37,4.30,4.32,35374100,43.11
2010-11-16,4.28,4.29,4.19,4.22,50020500,42.11
2010-11-17,4.23,4.24,4.15,4.19,39175500,41.81
2010-11-18,4.26,4.33,4.22,4.30,48876400,42.91
2010-11-19,4.26,4.27,4.22,4.27,29041600,42.61
2010-11-22,4.25,4.25,4.16,4.18,36827400,41.71
2010-11-23,4.15,4.15,4.10,4.10,38789400,40.91
2010-11-24,4.14,4.19,4.11,4.17,30429900,41.61
2010-11-26,4.14,4.16,4.10,4.11,15672600,41.01
2010-11-29,4.12,4.17,4.10,4.15,33721200,41.41
2010-11-30,4.13,4.24,4.11,4.20,61260300,41.91
2010-12-01,4.28,4.31,4.26,4.30,49495000,42.91
2010-12-02,4.32,4.45,4.32,4.42,51966300,44.11
2010-12-03,4.38,4.46,4.35,4.45,36080600,44.41
2010-12-06,4.45,4.50,4.43,4.45,47203000,44.41
2010-12-07,4.55,4.65,4.54,4.62,326782900,46.10
2010-12-08,4.61,4.64,4.55,4.64,91574100,46.30
2010-12-09,4.68,4.71,4.64,4.69,73204200,46.80
2010-12-10,4.70,4.77,4.66,4.77,76407800,47.60
2010-12-13,4.80,4.85,4.76,4.81,69850800,48.00
2010-12-14,4.81,4.81,4.66,4.69,60311200,46.80
2010-12-15,4.67,4.68,4.54,4.59,72978700,45.80
2010-12-16,4.61,4.65,4.54,4.59,68094700,45.80
2010-12-17,4.60,4.70,4.57,4.70,69555600,46.90
2010-12-20,4.73,4.74,4.67,4.71,41915800,47.00
2010-12-21,4.74,4.77,4.71,4.74,39886000,47.30
2010-12-22,4.75,4.76,4.68,4.73,51355400,47.20
2010-12-23,4.72,4.72,4.68,4.68,20536500,46.70
2010-12-27,4.66,4.79,4.65,4.77,29016800,47.60
2010-12-28,4.79,4.80,4.75,4.78,18644400,47.70
2010-12-29,4.80,4.80,4.75,4.77,16459800,47.60
2010-12-30,4.78,4.78,4.75,4.76,14418600,47.50
2010-12-31,4.75,4.76,4.72,4.73,16923200,47.20
2011-01-03,4.78,4.90,4.78,4.90,65798900,48.90
2011-01-04,4.91,4.94,4.83,4.90,58340400,48.90
2011-01-05,4.88,5.00,4.88,4.97,66673600,49.60
2011-01-06,5.00,5.05,4.93,4.95,71529800,49.40
2011-01-07,4.96,5.00,4.84,4.94,68069700,49.30
2011-01-10,4.92,4.93,4.87,4.91,46153200,49.00
2011-01-11,4.95,4.98,4.91,4.94,33127400,49.30
2011-01-12,4.99,5.08,4.98,5.08,60853500,50.69
2011-01-13,5.09,5.12,5.03,5.04,65082700,50.29
2011-01-14,5.05,5.15,5.03,5.13,103634400,51.19
2011-01-18,4.93,4.95,4.78,4.80,180960600,47.90
2011-01-19,4.85,4.86,4.75,4.76,71421900,47.50
2011-01-20,4.77,4.82,4.72,4.80,62673900,47.90
2011-01-21,4.85,4.91,4.84,4.89,65507800,48.80
2011-01-24,4.91,4.92,4.83,4.86,37250100,48.50
2011-01-25,4.85,4.86,4.77,4.82,42339600,48.10
2011-01-26,4.84,4.87,4.81,4.81,44338200,48.00
2011-01-27,4.83,4.86,4.81,4.83,27251200,48.20
2011-01-28,4.84,4.88,4.72,4.72,64329500,47.10
2011-01-31,4.74,4.82,4.73,4.82,34795600,48.10
2011-02-01,4.86,4.91,4.85,4.90,39237100,48.90
2011-02-02,4.89,4.90,4.83,4.85,31667400,48.40
2011-02-03,4.85,4.86,4.76,4.81,43984800,48.00
2011-02-04,4.83,4.83,4.76,4.82,36607600,48.10
2011-02-07,4.84,4.90,4.83,4.90,39261100,48.90
2011-02-08,4.90,4.91,4.85,4.89,40287600,48.80
2011-02-09,4.88,4.88,4.80,4.84,28657800,48.30
2011-02-10,4.80,4.82,4.76,4.78,41029200,47.70
2011-02-11,4.78,4.90,4.76,4.88,45335800,48.70
2011-02-14,4.89,4.92,4.86,4.91,35369700,49.00
2011-02-15,4.90,4.94,4.88,4.91,42500000,49.00
2011-02-16,4.94,4.94,4.87,4.90,29894800,48.90
2011-02-17,4.88,4.94,4.87,4.94,30673500,49.30
2011-02-18,4.95,4.96,4.90,4.91,25229000,49.00
2011-02-22,4.84,4.84,4.65,4.69,89462900,46.80
2011-02-23,4.72,4.76,4.57,4.70,81515000,46.90
2011-02-24,4.68,4.71,4.59,4.69,58605800,46.80
2011-02-25,4.67,4.73,4.66,4.70,40819500,46.90
2011-02-28,4.73,4.75,4.68,4.68,44054200,46.70
2011-03-01,4.70,4.70,4.57,4.57,52789600,45.60
2011-03-02,4.59,4.62,4.57,4.60,35351500,45.90
2011-03-03,4.66,4.68,4.63,4.68,45540700,46.70
2011-03-04,4.63,4.64,4.52,4.54,71717600,45.30
2011-03-07,4.54,4.57,4.50,4.52,36391800,45.10
2011-03-08,4.55,4.65,4.54,4.64,47184200,46.30
2011-03-09,4.67,4.67,4.61,4.65,34512800,46.40
