Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,64.78,64.94,64.61,64.81,8461200,60.72
2010-11-10,64.67,64.80,64.36,64.57,8151400,60.50
2010-11-11,64.32,64.58,64.06,64.36,7003900,60.30
2010-11-12,64.26,64.52,64.02,64.33,9280400,60.27
2010-11-15,64.55,64.91,64.14,64.29,10861200,60.24
2010-11-16,64.36,64.37,63.10,63.45,14384500,59.45
2010-11-17,63.39,63.50,63.14,63.27,7938500,59.28
2010-11-18,63.59,64.27,63.51,64.02,11296700,59.98
2010-11-19,64.23,64.24,63.61,64.05,9495800,60.01
2010-11-22,63.58,63.79,63.03,63.56,9139700,59.55
2010-11-23,63.07,63.13,62.32,62.61,10488100,58.66
2010-11-24,62.96,62.97,62.40,62.60,8766300,58.65
2010-11-26,62.28,62.50,62.03,62.13,3916500,58.21
2010-11-29,62.05,62.24,61.67,62.13,8433700,58.21
2010-11-30,61.51,61.66,61.02,61.07,17675200,57.22
2010-12-01,61.57,62.34,61.50,62.15,11598600,58.23
2010-12-02,62.15,62.49,61.96,62.36,7866500,58.43
2010-12-03,62.45,62.50,61.97,62.33,8971900,58.40
2010-12-06,62.25,62.33,62.05,62.06,5849500,58.15
2010-12-07,62.19,62.63,62.01,62.15,9882400,58.23
2010-12-08,62.28,62.68,62.28,62.63,8344500,58.68
2010-12-09,62.66,62.97,62.53,62.87,8541200,58.91
2010-12-10,63.30,63.79,63.06,63.20,11510100,59.22
2010-12-13,63.31,63.52,63.15,63.19,8783600,59.21
2010-12-14,63.33,63.70,63.20,63.55,8626100,59.54
2010-12-15,63.61,63.91,63.56,63.64,11074500,59.63
2010-12-16,63.86,64.75,63.15,64.50,14337400,60.43
2010-12-17,64.54,65.04,64.29,64.81,23534700,60.72
2010-12-20,64.86,65.31,64.67,64.97,10616100,60.87
2010-12-21,65.22,65.38,64.64,64.87,8193900,60.78
2010-12-22,64.28,64.97,64.27,64.95,7083400,60.86
2010-12-23,64.76,65.29,64.76,65.24,5950800,61.13
2010-12-27,65.04,65.11,64.37,64.67,7195800,60.59
2010-12-28,64.80,64.83,64.40,64.76,4648400,60.68
2010-12-29,64.72,64.80,64.35,64.40,4916400,60.34
2010-12-30,64.48,64.49,64.06,64.28,3819900,60.23
2010-12-31,64.08,64.45,64.01,64.33,5245600,60.27
2011-01-03,64.39,64.89,64.00,64.77,10004000,60.69
2011-01-04,64.41,64.96,64.35,64.95,11333200,60.86
2011-01-05,64.67,65.09,64.64,64.80,7459600,60.71
2011-01-06,64.69,64.78,64.31,64.69,11585100,60.61
2011-01-07,64.63,64.87,64.17,64.50,11940000,60.43
2011-01-10,64.40,64.53,64.15,64.36,12253700,60.30
2011-01-11,64.50,64.60,63.74,64.04,9624200,60.00
2011-01-12,64.41,65.00,63.40,64.97,10150600,60.87
2011-01-13,64.92,65.50,64.91,65.48,9899100,61.35
2011-01-14,65.35,65.66,65.27,65.53,10947000,61.40
2011-01-18,65.65,65.94,65.44,65.50,12395900,61.37
2011-01-19,65.11,65.67,65.05,65.35,11763500,61.68
2011-01-20,65.44,65.90,65.35,65.80,12492800,62.11
2011-01-21,65.90,65.95,65.52,65.91,9554100,62.21
2011-01-24,65.90,66.70,65.79,66.58,10568200,62.85
2011-01-25,66.57,66.95,66.47,66.70,11064100,62.96
2011-01-26,66.89,66.92,66.07,66.11,9499500,62.40
2011-01-27,64.36,64.50,63.14,64.18,23967100,60.58
2011-01-28,63.90,64.34,63.84,64.20,14927400,60.60
2011-01-31,64.35,64.36,63.01,63.13,12568400,59.59
2011-02-01,63.43,63.61,62.72,62.92,14623900,59.39
2011-02-02,62.76,62.95,62.30,62.79,11626100,59.27
2011-02-03,62.66,63.13,62.65,62.90,8546700,59.37
2011-02-04,62.83,63.71,62.77,63.61,9827300,60.04
2011-02-07,63.95,64.80,63.80,64.55,12847100,60.93
2011-02-08,64.39,64.75,64.30,64.64,8193700,61.01
2011-02-09,64.64,64.88,64.08,64.39,11019900,60.78
2011-02-10,64.63,64.79,64.08,64.58,10977000,60.96
