Date,Open,High,Low,Close,Volume,Adj Close
2010-11-09,18.64,18.90,18.32,18.48,395400,18.48
2010-11-10,18.75,19.18,18.25,19.11,434800,19.11
2010-11-11,18.90,19.24,18.54,18.57,266300,18.57
2010-11-12,18.50,18.77,18.42,18.66,202400,18.66
2010-11-15,18.78,18.91,18.36,18.40,106300,18.40
2010-11-16,18.36,18.81,17.85,17.95,230900,17.95
2010-11-17,17.95,18.43,17.92,18.25,132700,18.25
2010-11-18,18.55,18.87,18.34,18.43,134900,18.43
2010-11-19,18.43,18.73,18.23,18.68,193700,18.68
2010-11-22,18.65,18.78,18.36,18.72,135700,18.72
2010-11-23,18.47,18.82,18.40,18.62,189400,18.62
2010-11-24,18.81,19.50,18.80,18.95,115300,18.95
2010-11-26,18.80,19.03,18.60,18.94,30300,18.94
2010-11-29,18.82,19.18,18.68,18.92,136600,18.92
2010-11-30,18.72,18.81,18.41,18.53,144100,18.53
2010-12-01,18.83,18.85,18.38,18.60,344700,18.60
2010-12-02,18.60,19.60,18.60,19.49,276800,19.49
2010-12-03,19.37,20.20,19.24,20.11,287300,20.11
2010-12-06,20.01,20.34,19.76,20.04,209100,20.04
2010-12-07,20.24,20.68,20.08,20.56,252200,20.56
2010-12-08,20.63,21.23,20.54,20.58,501700,20.58
2010-12-09,20.71,20.79,20.11,20.18,123300,20.18
2010-12-10,20.18,20.18,19.71,20.07,199800,20.07
2010-12-13,20.18,20.41,19.80,20.15,226200,20.15
2010-12-14,20.19,20.31,19.95,20.23,159700,20.23
2010-12-15,20.24,20.65,20.05,20.08,124500,20.08
2010-12-16,20.06,20.96,20.00,20.84,304100,20.84
2010-12-17,20.82,21.21,20.70,21.13,328200,21.13
2010-12-20,21.26,21.49,21.17,21.25,200600,21.25
2010-12-21,21.37,22.00,21.27,21.88,326700,21.88
2010-12-22,21.98,22.15,21.88,22.04,488000,22.04
2010-12-23,22.02,22.23,21.65,21.69,165900,21.69
2010-12-27,21.27,22.06,21.20,21.89,132800,21.89
2010-12-28,21.88,21.95,21.68,21.77,122300,21.77
2010-12-29,21.86,21.94,21.66,21.67,102700,21.67
2010-12-30,21.66,21.78,21.46,21.55,101000,21.55
2010-12-31,21.45,21.77,21.33,21.47,130500,21.47
2011-01-03,21.65,21.93,21.52,21.64,99400,21.64
2011-01-04,21.75,21.91,20.36,20.78,332900,20.78
2011-01-05,20.70,21.01,20.47,20.71,378000,20.71
2011-01-06,20.75,21.99,20.75,21.78,958400,21.78
2011-01-07,21.78,22.70,21.52,22.69,1233600,22.69
2011-01-10,22.82,22.98,22.25,22.36,283300,22.36
2011-01-11,22.44,22.64,22.13,22.20,207200,22.20
2011-01-12,22.46,22.46,21.75,21.98,204100,21.98
2011-01-13,21.92,22.09,21.78,21.98,119700,21.98
2011-01-14,21.92,22.02,21.75,21.90,115700,21.90
2011-01-18,21.78,21.87,21.44,21.71,147600,21.71
2011-01-19,21.67,21.67,21.25,21.51,225900,21.51
2011-01-20,21.31,21.53,21.05,21.40,346000,21.40
2011-01-21,21.59,21.59,21.10,21.22,146800,21.22
2011-01-24,21.42,21.64,21.05,21.19,177000,21.19
2011-01-25,21.24,21.31,20.84,20.99,148200,20.99
2011-01-26,21.10,21.29,20.77,21.15,171500,21.15
2011-01-27,21.19,21.24,20.89,20.99,88400,20.99
2011-01-28,21.00,21.00,20.51,20.65,254800,20.65
2011-01-31,20.85,20.88,20.23,20.64,199900,20.64
2011-02-01,20.82,21.25,20.50,21.20,178800,21.20
2011-02-02,21.15,21.30,20.87,20.94,63100,20.94
2011-02-03,21.02,21.12,20.56,20.89,109400,20.89
2011-02-04,20.84,20.84,20.52,20.64,124400,20.64
2011-02-07,20.74,21.10,20.74,20.90,102300,20.90
2011-02-08,20.77,20.98,20.54,20.98,140800,20.98
2011-02-09,20.98,21.18,20.71,20.98,177200,20.98
2011-02-10,20.89,21.57,20.82,21.24,369600,21.24
2011-02-11,21.14,21.46,21.06,21.23,122600,21.23
2011-02-14,21.18,21.41,20.92,20.98,72900,20.98
2011-02-15,20.93,20.95,20.66,20.69,140800,20.69
2011-02-16,20.78,21.21,20.61,21.02,181500,21.02
2011-02-17,21.05,21.26,20.96,21.12,406500,21.12
2011-02-18,23.74,24.41,23.21,23.76,1982200,23.76
2011-02-22,23.58,24.50,23.46,23.48,510300,23.48
2011-02-23,23.42,23.50,22.33,22.55,470800,22.55
2011-02-24,22.78,23.01,22.10,22.83,287700,22.83
2011-02-25,23.27,24.01,23.23,23.56,311600,23.56
2011-02-28,23.81,23.93,23.57,23.86,215900,23.86
2011-03-01,24.23,24.47,23.52,23.55,443200,23.55
2011-03-02,23.60,23.79,23.31,23.44,238500,23.44
2011-03-03,23.65,24.30,23.65,23.82,227100,23.82
2011-03-04,23.78,24.06,23.72,23.88,192300,23.88
2011-03-07,23.93,24.61,23.67,23.70,298400,23.70
2011-03-08,23.68,24.42,23.68,24.19,173600,24.19
2011-03-09,24.25,24.79,24.13,24.62,233500,24.62
2011-03-10,24.37,24.50,23.98,24.19,217700,24.19
2011-03-11,23.48,24.45,23.48,24.15,170200,24.15
2011-03-14,23.88,24.30,23.75,24.01,201500,24.01
2011-03-15,23.40,24.11,23.32,24.02,229600,24.02
2011-03-16,24.05,24.24,23.81,23.86,214300,23.86
2011-03-17,24.29,24.38,23.98,23.98,138500,23.98
2011-03-18,24.20,24.97,24.20,24.45,340800,24.45
2011-03-21,24.73,25.80,24.47,25.44,462700,25.44
2011-03-22,25.43,26.14,25.19,26.06,338300,26.06
2011-03-23,25.97,26.01,25.23,25.74,129300,25.74
2011-03-24,25.84,26.50,24.97,26.20,232700,26.20
2011-03-25,26.20,26.77,26.20,26.57,229200,26.57
2011-03-28,26.75,26.82,26.38,26.45,272400,26.45
2011-03-29,26.45,26.70,26.45,26.66,160500,26.66
2011-03-30,26.68,26.99,26.68,26.78,180100,26.78
2011-03-31,26.75,27.02,26.60,26.89,124000,26.89
2011-04-01,27.10,27.35,26.94,27.06,169000,27.06
2011-04-04,27.19,27.44,26.33,26.77,329600,26.77
2011-04-05,26.74,27.43,26.48,27.10,191700,27.10
2011-04-06,27.25,27.67,27.06,27.51,252700,27.51
2011-04-07,27.39,27.83,27.12,27.38,226200,27.38
2011-04-08,27.50,27.74,26.18,26.35,160700,26.35
2011-04-11,26.31,26.34,25.89,26.22,225100,26.22
2011-04-12,26.15,26.99,25.71,26.72,216400,26.72
2011-04-13,26.82,26.86,26.35,26.41,103400,26.41
2011-04-14,26.31,27.45,25.65,27.28,221200,27.28
2011-04-15,27.18,28.11,27.04,27.85,347500,27.85
2011-04-18,27.37,27.56,27.07,27.49,220100,27.49
2011-04-19,27.53,27.84,27.35,27.44,113500,27.44
